1769681921.055658, 99.172386
1769681921.056295, 99.172386
1769681921.056685, 99.172386
1769681921.057026, 99.172386
1769681921.057350, 99.172386
1769681921.065601, 99.172386
1769681921.084126, 99.172386
1769681921.100498, 99.172386
1769681921.115668, 99.172386
1769681921.143563, 99.172386
1769681921.185195, 99.172386
1769681921.185805, 3.894707
1769681921.199262, 3.775947
1769681921.218452, 3.782906
1769681921.248763, 3.782906
1769681921.296975, 3.783104
1769681921.297461, 3.782906
1769681921.372175, 3.789923
1769681921.372826, 3.789923
1769681921.373180, 3.789923
1769681921.373490, 3.789894
1769681921.381511, 3.789894
1769681921.398308, 3.789894
1769681921.434835, 3.789894
1769681921.452712, 3.789894
1769681921.509998, 3.789923
1769681921.510528, 3.789923
1769681921.510878, 3.789923
1769681921.533226, 3.789923
1769681921.539215, 3.790120
1769681921.556074, 3.789923
1769681921.576731, 3.790120
1769681921.595768, 3.783132
1769681921.638686, 3.783132
1769681921.639181, 3.783132
1769681921.656051, 3.783132
1769681921.681594, 3.783132
1769681921.697477, 3.783160
1769681921.717795, 3.783160
1769681921.736833, 3.783160
1769681921.758641, 3.783160
1769681921.777711, 3.783160
1769681921.810573, 3.783160
1769681921.817825, 3.783160
1769681921.864324, 3.783160
1769681921.864843, 3.783357
1769681921.962523, 3.783357
1769681921.963091, 3.783330
1769681921.963446, 3.783330
1769681921.963787, 3.783330
1769681921.964105, 3.783330
1769681921.980443, 3.783330
1769681922.014506, 3.783330
1769681922.016696, 3.783330
1769681922.044397, 3.783527
1769681922.055923, 3.783527
1769681922.076426, 3.790515
1769681922.108818, 3.790515
1769681922.115982, 3.790488
1769681922.138259, 3.790488
1769681922.165049, 3.790488
1769681922.179097, 3.790488
1769681922.203510, 3.790686
1769681922.215786, 3.790659
1769681922.235931, 3.790659
1769681922.256105, 3.790659
1769681922.279565, 3.790659
1769681922.298812, 3.790632
1769681922.316684, 3.790632
1769681922.337104, 3.790632
1769681922.356027, 3.790632
1769681922.380296, 3.790606
1769681922.402074, 3.783618
1769681922.416464, 3.783618
1769681922.438502, 3.790606
1769681922.455720, 3.783419
1769681922.476244, 3.783419
1769681922.498037, 3.783618
1769681922.516102, 3.783591
1769681922.536049, 3.783591
1769681922.560403, 3.783591
1769681922.575723, 3.783591
1769681922.596483, 3.783591
1769681922.616132, 3.783591
1769681922.637743, 3.776603
1769681922.657909, 3.783591
1769681922.678744, 3.783591
1769681922.696422, 3.783591
1769681922.716552, 3.783591
1769681922.735994, 3.783591
1769681922.756332, 3.783591
1769681922.777095, 3.783591
1769681922.795949, 3.783791
1769681922.818652, 3.776603
1769681922.836030, 3.776603
1769681922.855889, 3.776803
1769681922.876553, 3.776803
1769681922.895896, 3.769815
1769681922.922197, 3.776630
1769681922.936213, 3.776630
1769681922.956395, 3.776630
1769681922.980218, 3.776829
1769681922.998194, 3.776630
1769681923.022654, 3.769642
1769681923.035846, 3.776829
1769681923.055867, 3.769842
1769681923.075915, 3.776856
1769681923.098077, 3.769868
1769681923.115837, 3.769868
1769681923.136398, 3.776856
1769681923.159758, 3.776856
1769681923.176658, 3.776856
1769681923.198617, 3.776856
1769681923.218677, 3.776856
1769681923.239428, 3.776856
1769681923.262837, 3.776856
1769681923.277263, 3.776856
1769681923.298884, 3.776856
1769681923.317456, 3.776856
1769681923.338148, 3.776856
1769681923.355866, 3.776856
1769681923.397296, 3.776856
1769681923.397690, 3.776856
1769681923.462687, 3.776856
1769681923.463208, 3.776856
1769681923.463599, 3.776882
1769681923.477664, 3.776882
1769681923.497799, 3.776882
1769681923.523395, 3.776882
1769681923.535962, 3.776882
1769681923.555902, 3.776882
1769681923.575597, 3.776882
1769681923.597285, 3.776882
1769681923.617440, 3.776882
1769681923.638801, 3.776882
1769681923.656143, 3.776882
1769681923.676214, 3.776882
1769681923.695929, 3.776882
1769681923.716294, 3.776882
1769681923.736654, 3.776882
1769681923.756111, 3.776882
1769681923.777260, 3.776882
1769681923.795614, 3.776882
1769681923.816490, 3.776882
1769681923.842650, 3.776908
1769681923.857320, 3.776908
1769681923.875672, 3.776908
1769681923.897659, 3.776908
1769681923.916528, 3.776908
1769681923.936050, 3.776908
1769681923.955832, 3.776908
1769681923.976323, 3.776908
1769681923.996112, 3.776908
1769681924.016016, 3.776908
1769681924.036465, 3.776710
1769681924.055885, 3.776710
1769681924.076503, 3.776710
1769681924.099930, 3.776710
1769681924.119446, 3.776710
1769681924.137766, 3.776710
1769681924.157142, 3.776710
1769681924.180020, 3.776710
1769681924.195806, 3.776684
1769681924.216249, 3.776485
1769681924.235719, 3.776485
1769681924.257360, 3.776485
1769681924.277894, 3.776485
